"Year","Home desktop","Office desktop","Office notebook","Home notebook","CRT display","LCD display","Tablet","Smart phones"
2007,276,414,130,195,459,594,,200
2008,291,437,167,250,250,512,,271
2009,301,451,207,311,233,631,,342
2010,312,468,258,386,216,750,,485
2011,315,472,310,464,199,870,,771
2012,305,458,359,538,168,1482,,1136
2013,308,462,376,564,166,1108,660,1580
2014,307,460,391,586,149,1227,860,1833
2015,300,449,397,596,132,1346,1000,2246
2016,289,434,399,599,115,1465,1120,2594
2017,280,420,403,605,98,1584,1230,2807
2018,273,409,409,613,82,1704,1320,2981
2019,266,399,416,623,65,1823,1400,3409
2020,255,383,417,625,48,1942,1460,3619